jobtitle,location,country,function,days_open_in_report_date_range,total_amount_of_views,unique_visits,unique_application_clicks,cost_per_click,cost_per_application,application_through_rate
Traineeship Technische Bedrijfskunde,"Drenthe, Nederland",Nederland,Manufacturing,31,255,235,6,0.4698338676770621,18.401826484018265,0.025531914893617
Traineeship Technische Bedrijfskunde,"Utrecht, Utrecht, Nederland",Nederland,Administrative,54,254,214,9,0.8987325566508769,21.36986301369863,0.0420560747663551
Junior Project Engineer Utiliteit elektrotechniek,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,14,253,216,14,0.2308472856418062,3.561643835616439,0.0648148148148148
Junior IT Support,"Delft, Zuid-Holland, Nederland",Nederland,Information Technology,8,253,212,26,0.1344016541742052,1.095890410958904,0.1226415094339622
Subsidiemedewerker Utrecht,"Utrecht, Nederland",Nederland,Administrative,31,253,232,8,0.475909305621162,13.8013698630137,0.0344827586206896
Procesmanager Utrecht,"Utrecht, Utrecht, Nederland",Nederland,Management/Manufacturing,31,252,228,7,0.4842585916846912,15.772994129158514,0.0307017543859649
Medior systeembeheerder Windows,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,23,251,211,15,0.3882360579107966,5.461187214611872,0.0710900473933649
Medior KYC/CDD analist Tilburg HBO,"Tilburg, Noord-Brabant, Nederland",Nederland,Finance/Sales,31,250,211,6,0.5232746867493345,18.401826484018265,0.0284360189573459
Automation Engineer,"Utrecht, Utrecht, Nederland",Nederland,Engineering/Information Technology,8,246,200,25,0.1424657534246575,1.1397260273972605,0.125
Junior Project Engineer Utiliteit Werktuigbouwkundig,"Utrecht, Utrecht, Nederland",Nederland,Engineering/Information Technology,21,245,216,10,0.3462709284627093,7.479452054794521,0.0462962962962962
Senior KYC Specialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,245,205,16,0.538590043434681,6.9006849315068495,0.0780487804878048
Cloud Engineer,"Groningen, Groningen, Nederland",Nederland,Information Technology,9,245,207,25,0.1548540798094103,1.2821917808219176,0.1207729468599033
,,,,0,244,208,3,0.0,0.0,0.0144230769230769
OT Engineer,"Gelderland, Nederland",Nederland,Engineering,18,241,218,4,0.2940806836747517,16.027397260273972,0.018348623853211
Commissioning Engineer Data Centers – Electrical,"Den Haag, Zuid-Holland, Nederland",Nederland,Engineering/Information Technology,31,241,187,26,0.5904329353160941,4.2465753424657535,0.1390374331550802
Procesmanager Utrecht,"Utrecht, Utrecht, Nederland",Nederland,Management/Manufacturing,31,241,206,3,0.5359755286607262,36.80365296803653,0.0145631067961165
Werkvoorbereider scheepsbouw,"Vlissingen, Zeeland, Nederland",Nederland,Manufacturing,31,240,208,6,0.5308219178082192,18.401826484018265,0.0288461538461538
Junior Privacy Jurist Utrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,30,239,206,7,0.5186859954781221,15.264187866927594,0.0339805825242718
Financieel Coach,"Breda, Noord-Brabant, Nederland",Nederland,Customer Service,31,239,218,2,0.5064722885509614,55.2054794520548,0.0091743119266055
Administratief Medewerker Amersfoort,"Amsterdam, Noord-Holland, Nederland",Nederland,Administrative,14,236,199,5,0.2505679080333173,9.972602739726028,0.0251256281407035
Senior Project Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,236,204,14,0.5412301907064195,7.886497064579257,0.0686274509803921
Medior CDD/KYC Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,236,198,8,0.557631105576311,13.8013698630137,0.0404040404040404
Coördinator E&I,"Delfzijl, Groningen, Nederland",Nederland,Manufacturing,31,235,187,17,0.5904329353160941,6.494762288477035,0.0909090909090909
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,8,235,213,6,0.1337706604926362,4.748858447488584,0.028169014084507
Junior Netwerk Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,29,234,190,24,0.5436193222782986,4.30365296803653,0.1263157894736842
ICT Servicedesk,"Zwolle, Overijssel, Nederland",Nederland,Information Technology,45,234,193,20,0.8304350912059053,8.013698630136986,0.1036269430051813
Manager Juridische Zaken,"Utrecht, Utrecht, Nederland",Nederland,Legal,28,234,206,0,0.484106929112914,,0.0
IT Supportmedewerker,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,233,205,10,0.538590043434681,11.04109589041096,0.048780487804878
Traineeship Technische Bedrijfskunde,"Drenthe, Nederland",Nederland,Manufacturing,31,233,185,13,0.5968159940762681,8.493150684931507,0.0702702702702702
Specialist automatisering,"Meppel, Drenthe, Nederland",Nederland,Business Development/Engineering/Manufacturing,31,233,176,16,0.62733499377335,6.9006849315068495,0.0909090909090909
Financial Risk Manager (NL),"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,233,199,12,0.5548289392166311,9.200913242009133,0.0603015075376884
Jurist Bestuursrecht,"Groningen, Groningen, Nederland",Nederland,Legal,31,232,201,2,0.5493082532542766,55.2054794520548,0.0099502487562189
Maintenance Engineer,"Lutjewinkel, Noord-Holland, Nederland",Nederland,Engineering/Manufacturing,31,231,180,24,0.6133942161339422,4.600456621004566,0.1333333333333333
Teamleider Onderhoud,"Marum, Groningen, Nederland",Nederland,Manufacturing,31,230,214,0,0.5159390602995775,,0.0
Netwerk Security Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,28,230,197,9,0.5062234893261943,11.080669710806696,0.0456852791878172
Senior Project Manager Offshore Wind,"Utrecht, Utrecht, Nederland",Nederland,Information Technology/Project Management,30,230,191,10,0.5594204977408018,10.684931506849315,0.0523560209424083
ICT Support medewerker,"Leiden, Zuid-Holland, Nederland",Nederland,Information Technology,31,229,211,6,0.5232746867493345,18.401826484018265,0.0284360189573459
Senior Support Engineer,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,12,228,191,9,0.2237681990963207,4.748858447488584,0.0471204188481675
Junior IT Servicedeskmedewerker,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,16,227,190,17,0.2999279019466474,3.3521353746978244,0.0894736842105263
Senior Netwerk Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,227,199,11,0.5548289392166311,10.0373599003736,0.0552763819095477
Specialist automatisering,"Marum, Groningen, Nederland",Nederland,Business Development/Engineering/Manufacturing,31,226,183,20,0.6033385732465005,5.52054794520548,0.1092896174863388
Sales Consultant Legal,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,14,226,203,6,0.2456306093528578,8.310502283105023,0.0295566502463054
Toezichthouder Veilig Graven,"Groningen, Nederland",Nederland,Quality Assurance,31,224,181,7,0.6100052978127601,15.772994129158514,0.0386740331491712
Traineeship OT & Industriële Automatisering,"Leeuwarden, Friesland, Nederland",Nederland,Engineering,31,223,195,10,0.5662100456621004,11.04109589041096,0.0512820512820512
ICT Support medewerker,"Leiden, Zuid-Holland, Nederland",Nederland,Information Technology,31,223,185,9,0.5968159940762681,12.267884322678844,0.0486486486486486
Maintenance Engineer Elektrotechniek,"Groningen, Groningen, Nederland",Nederland,Manufacturing/Project Management,31,223,142,35,0.7775419641134478,3.1545988258317026,0.2464788732394366
ICT Support,"Leiden, Zuid-Holland, Nederland",Nederland,Information Technology,45,222,201,6,0.7973829482723369,26.712328767123285,0.0298507462686567
Projectmanager bouw,"Groningen, Groningen, Nederland",Nederland,Information Technology/Project Management,17,222,196,4,0.3089180877830584,15.136986301369864,0.0204081632653061
Junior Project Engineer Utiliteit Werktuigbouwkundig,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,15,221,195,13,0.273972602739726,4.109589041095891,0.0666666666666666
Werkplekbeheerder,"Haarlem, Noord-Holland, Nederland",Nederland,Management/Manufacturing,31,220,206,4,0.5359755286607262,27.6027397260274,0.0194174757281553
Specialist Zakelijk Krediet,"Utrecht, Utrecht, Nederland",Nederland,Finance,31,220,190,5,0.5811103100216294,22.08219178082192,0.0263157894736842
Senior KYC/CDD Analist,"Tilburg, Noord-Brabant, Nederland",Nederland,Finance/Sales,10,219,187,6,0.19046223719874,5.93607305936073,0.0320855614973262
Junior Business Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,218,191,3,0.5780678476654952,36.80365296803653,0.0157068062827225
Transactie Monitoring Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,217,199,11,0.5548289392166311,10.0373599003736,0.0552763819095477
Financieel Data Analist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,17,217,188,18,0.3220635383270183,3.3637747336377477,0.0957446808510638
Junior Jurist RO,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,24,216,192,4,0.4452054794520548,21.36986301369863,0.0208333333333333
Senior analist sancties,"Amersfoort, Utrecht, Nederland",Nederland,Business Development/Sales,39,216,207,5,0.6710343458407783,27.78082191780822,0.0241545893719806
Verzekeringsspecialist,"Tilburg, Noord-Brabant, Nederland",Nederland,Finance,31,216,192,4,0.5750570776255708,27.6027397260274,0.0208333333333333
Traineeship OT & Industriële Automatisering,"Groningen, Nederland",Nederland,Engineering,31,215,177,4,0.6237907282718056,27.6027397260274,0.0225988700564971
Engineer Ondergrondse Infra,"Zwolle, Overijssel, Nederland",Nederland,Engineering/Information Technology,31,215,191,9,0.5780678476654952,12.267884322678844,0.0471204188481675
Adviseur Wonen Centraal,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance,31,214,198,2,0.557631105576311,55.2054794520548,0.0101010101010101
Jurist Rechtsbijstand (senior),"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,213,195,0,0.5662100456621004,,0.0
Project Manager NPI - Elektronica,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,11,212,173,4,0.2264629028426637,9.794520547945206,0.0231213872832369
Junior ICT Servicedeskmedewerker,"Den Haag, Zuid-Holland, Nederland",Nederland,Information Technology,16,212,157,15,0.3629700724195096,3.799086757990868,0.0955414012738853
Senior Work Planner Production & Assembly,"Hengelo, Overijssel, Nederland",Nederland,Management/Manufacturing,14,212,197,5,0.2531117446630971,9.972602739726028,0.0253807106598984
Financieel Coach,"Breda, Noord-Brabant, Nederland",Nederland,Customer Service,31,211,185,3,0.5968159940762681,36.80365296803653,0.0162162162162162
Trainee Finance & Control,"Utrecht, Utrecht, Nederland",Nederland,Accounting/Auditing/Finance,18,211,186,10,0.344675209898365,6.410958904109589,0.053763440860215
Junior Financial Accountant,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,36,211,187,9,0.685664053915464,14.246575342465754,0.0481283422459893
IT Support Engineer,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,36,211,184,6,0.6968433591423466,21.36986301369863,0.0326086956521739
Maintenance Engineer Elektrotechniek,"Lutjewinkel, Noord-Holland, Nederland",Nederland,Manufacturing/Project Management,25,210,168,17,0.5300065231572081,5.23771152296535,0.1011904761904761
Junior Jurist Contractenrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,31,209,182,9,0.6066536203522505,12.267884322678844,0.0494505494505494
,,,,0,209,192,1,0.0,0.0,0.0052083333333333
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,9,208,187,4,0.171416013478866,8.013698630136986,0.0213903743315508
Planner,"Amersfoort, Utrecht, Nederland",Nederland,Supply Chain,7,208,176,12,0.1416562889165629,2.077625570776256,0.0681818181818181
Legal Counsel,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,12,207,179,2,0.2387694191474707,21.36986301369863,0.0111731843575419
IT Supportmedewerker,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,206,192,6,0.5750570776255708,18.401826484018265,0.03125
Procesmanager Eindhoven,"Eindhoven, Noord-Brabant, Nederland",Nederland,Management/Manufacturing,11,206,178,2,0.2201015853470832,19.58904109589041,0.0112359550561797
Junior Financial Accountant,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,36,206,192,9,0.6678082191780822,14.246575342465754,0.046875
Junior Specialist Klantonboarding,"Amsterdam, Noord-Holland, Nederland",Nederland,Business Development/Sales,31,205,193,7,0.5720775072751793,15.772994129158514,0.0362694300518134
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,6,205,174,10,0.1228153046764289,2.136986301369863,0.057471264367816
Sales Consultant,"Utrecht, Utrecht, Nederland",Nederland,Business Development/Sales,15,205,183,3,0.2919380193128228,17.808219178082194,0.0163934426229508
Calculator,"Groningen, Groningen, Nederland",Nederland,Finance,10,205,186,4,0.1914862277213138,8.904109589041095,0.021505376344086
Trainee Finance & Control,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,204,182,11,0.6066536203522505,10.0373599003736,0.0604395604395604
Junior Subsidiebeoordelaar,"Utrecht, Utrecht, Nederland",Nederland,Other,30,203,187,5,0.5713867115962201,21.36986301369863,0.0267379679144385
Junior BIM Engineer,"Den Haag, Zuid-Holland, Nederland",Nederland,Art/Creative/Design/Information Technology,8,203,162,22,0.1758836462032809,1.2951432129514322,0.1358024691358024
Scrum Master,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,17,203,167,17,0.3625625461405955,3.5616438356164384,0.1017964071856287
Finance Talenten Programma,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance/Sales,31,202,177,13,0.6237907282718056,8.493150684931507,0.0734463276836158
Werkvoorbereider Civiel - overheid,"Drenthe, Nederland",Nederland,Engineering,31,202,183,4,0.6033385732465005,27.6027397260274,0.0218579234972677
Junior Privacy Jurist Utrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,31,202,180,8,0.6133942161339422,13.8013698630137,0.0444444444444444
Adviseur Subsidies,"Utrecht, Utrecht, Nederland",Nederland,Administrative/Finance,31,202,165,3,0.6691573266915732,36.80365296803653,0.0181818181818181
Verzekeringsspecialist,"Tilburg, Noord-Brabant, Nederland",Nederland,Finance,31,202,177,5,0.6237907282718056,22.08219178082192,0.0282485875706214
Jurist Rechtsbijstand (Junior),"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,24,202,180,6,0.4748858447488585,14.246575342465754,0.0333333333333333
Junior Support Engineer,"Rotterdam, Zuid-Holland, Nederland",Nederland,Information Technology,36,201,189,8,0.6784083496412263,16.027397260273972,0.0423280423280423
Medior Servicedeskmedewerker,"Arnhem, Gelderland, Nederland",Nederland,Information Technology,26,201,172,4,0.53838802166295,23.15068493150685,0.0232558139534883
Oracle Database Administrator,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,36,200,171,21,0.7498197548666186,6.105675146771037,0.1228070175438596
Netwerkbeheer,"Groningen, Groningen, Nederland",Nederland,Information Technology,19,199,164,12,0.412629468760441,5.639269406392693,0.073170731707317
Project Manager,"Eindhoven, Noord-Brabant, Nederland",Nederland,Information Technology/Project Management,11,198,163,12,0.240356332464913,3.264840182648402,0.0736196319018405
Senior systeembeheerder Windows,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,28,197,157,9,0.6351976267341419,11.080669710806696,0.0573248407643312
Medior Servicedeskmedewerker,"Arnhem, Gelderland, Nederland",Nederland,Information Technology,31,197,165,5,0.6691573266915732,22.08219178082192,0.0303030303030303
Werkplekbeheer/IT Support,"Leiden, Zuid-Holland, Nederland",Nederland,Information Technology,15,197,175,11,0.3052837573385519,4.85678704856787,0.0628571428571428
Medior Privacy Jurist Utrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,45,196,166,1,0.9655058590526489,160.27397260273972,0.0060240963855421
Junior Uitvoerder Civiele Techniek,"Delft, Zuid-Holland, Nederland",Nederland,Engineering,31,196,163,9,0.6773678460374821,12.267884322678844,0.0552147239263803
Junior Jurist Contractenrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,31,195,172,5,0.6419241796750558,22.08219178082192,0.0290697674418604
Junior IT Servicedeskmedewerker,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,8,195,149,23,0.1912291992277282,1.238832638475283,0.1543624161073825
Windows 11 werkplek specials (migratie),"Groningen, Groningen, Nederland",Nederland,Information Technology,22,195,167,15,0.4691985891231236,5.223744292237443,0.0898203592814371
Maintenance Engineer,"Workum, Friesland, Nederland",Nederland,Engineering/Manufacturing,31,195,146,23,0.7562394445486958,4.800476474091721,0.1575342465753424
Trainee Finance & Control,"Utrecht, Utrecht, Nederland",Nederland,Accounting/Auditing/Finance,31,194,167,6,0.6611434664916742,18.401826484018265,0.0359281437125748
Senior Jurist Bezwaar Rijksoverheid,"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,31,194,178,2,0.6202862859781437,55.2054794520548,0.0112359550561797
Servicedeskmedewerker,"Groningen, Groningen, Nederland",Nederland,Information Technology,13,193,165,10,0.2806143628061436,4.63013698630137,0.0606060606060606
Maintenance Engineer Elektrotechniek,"Marum, Groningen, Nederland",Nederland,Manufacturing/Project Management,31,193,124,28,0.8904109589041096,3.943248532289629,0.2258064516129032
Engineer Ondergrondse Infra,"Zwolle, Overijssel, Nederland",Nederland,Engineering/Information Technology,31,193,164,14,0.6732375542933512,7.886497064579257,0.0853658536585365
Informatiespecialist,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,31,193,172,4,0.6419241796750558,27.6027397260274,0.0232558139534883
Specialist automatisering,"Leeuwarden, Friesland, Nederland",Nederland,Business Development/Engineering/Manufacturing,25,192,154,6,0.5781889343533179,14.840182648401829,0.0389610389610389
Specialist automatisering,"Beilen, Drenthe, Nederland",Nederland,Business Development/Engineering/Manufacturing,31,191,161,10,0.6857823534416745,11.04109589041096,0.062111801242236
Sales Consultant,"Utrecht, Utrecht, Nederland",Nederland,Business Development/Sales,38,191,183,4,0.7395763155924844,33.83561643835616,0.0218579234972677
Maintenance Engineer Elektrotechniek,"Assen, Drenthe, Nederland",Nederland,Manufacturing/Project Management,31,191,124,30,0.8904109589041096,3.680365296803653,0.2419354838709677
Medior Servicedeskmedewerker,"Utrecht, Utrecht, Nederland",Nederland,Information Technology,45,191,174,5,0.9211147850732168,32.054794520547944,0.028735632183908
IT Support Medewerker - Apeldoorn,"Apeldoorn, Gelderland, Nederland",Nederland,Information Technology,19,191,163,13,0.4151609378939406,5.205479452054794,0.0797546012269938
IT Support Multi Client Pool,"De Meern, Utrecht, Nederland",Nederland,Information Technology,16,189,168,7,0.3392041748206131,8.140900195694716,0.0416666666666666
Senior analist sancties,"Amersfoort, Utrecht, Nederland",Nederland,Business Development/Sales,25,189,170,6,0.523771152296535,14.840182648401829,0.0352941176470588
Traineeship Technische Bedrijfskunde,"Leeuwarden, Friesland, Nederland",Nederland,Manufacturing,31,189,168,2,0.6572080887149381,55.2054794520548,0.0119047619047619
Specialist automatisering,"Leeuwarden, Friesland, Nederland",Nederland,Business Development/Engineering/Manufacturing,31,188,158,10,0.6988035373677822,11.04109589041096,0.0632911392405063
Senior Business Controller,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,28,188,167,5,0.5971618407021574,19.945205479452056,0.029940119760479
Adviseur Subsidies,"Den Haag, Zuid-Holland, Nederland",Nederland,Administrative,31,187,157,9,0.7032545153127999,12.267884322678844,0.0573248407643312
Trainee Finance & Control,"Rotterdam, Zuid-Holland, Nederland",Nederland,Accounting/Auditing/Finance,12,187,161,9,0.265464136816132,4.748858447488584,0.0559006211180124
,,,,0,187,167,9,0.0,0.0,0.0538922155688622
Klantcontactmedewerker - Verzekeringen & Pensioenen,"Den Haag, Zuid-Holland, Nederland",Nederland,Administrative/Customer Service/Finance,31,186,159,4,0.694408546566727,27.6027397260274,0.0251572327044025
Onderhoudscoördinator,"Doetinchem, Gelderland, Nederland",Nederland,Product Management/Production/Strategy/Planning,12,186,165,6,0.2590286425902864,7.123287671232877,0.0363636363636363
Adviseur Wonen Centraal,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance,31,186,173,4,0.6382136352838704,27.6027397260274,0.0231213872832369
Domein Architect,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,24,185,160,1,0.5342465753424658,85.47945205479452,0.00625
Windows Technisch Applicatiebeheerder,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,24,184,169,2,0.505795574288725,42.73972602739726,0.0118343195266272
Jurist Vastgoed & Grondzaken ,"'s-Hertogenbosch, Noord-Brabant, Nederland",Nederland,Legal,31,184,171,5,0.6456781222462549,22.08219178082192,0.0292397660818713
Onderhoudsplanner,"Arnhem, Gelderland, Nederland",Nederland,Engineering/Manufacturing/Project Management,25,184,160,8,0.5565068493150684,11.13013698630137,0.05
Jurist Letselschade (medior) - HBO - Utrecht,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,31,183,164,4,0.6732375542933512,27.6027397260274,0.024390243902439
Jurist Rechtsbijstand (Junior),"Amsterdam, Noord-Holland, Nederland",Nederland,Legal,15,183,155,10,0.344675209898365,5.342465753424658,0.064516129032258
Junior Hypotheekacceptant,"Amsterdam, Noord-Holland, Nederland",Nederland,Finance,18,182,166,6,0.3862023436210595,10.684931506849315,0.036144578313253
Systeembeheerder,"Groningen, Groningen, Nederland",Nederland,Information Technology,19,182,159,4,0.4256052382183165,16.91780821917808,0.0251572327044025
Multi Client Pool ICT Servicedeskmedewerker,"De Meern, Utrecht, Nederland",Nederland,Other,17,182,166,8,0.364746657864334,7.568493150684931,0.0481927710843373
Transactie Monitoring Analist,"Utrecht, Utrecht, Nederland",Nederland,Finance/Sales,15,182,160,11,0.3339041095890411,4.85678704856787,0.06875
,,,,0,182,165,5,0.0,0.0,0.0303030303030303
Enterprise Architect,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology,36,182,165,2,0.7770859277708593,64.10958904109589,0.0121212121212121
Projectleider IT,"Utrecht, Utrecht, Nederland",Nederland,Information Technology/Management/Project Management,13,181,166,6,0.2789239148374319,7.716894977168949,0.036144578313253
Werkplekbeheer/IT Support,"Leiden, Zuid-Holland, Nederland",Nederland,Information Technology,28,181,151,17,0.6604372675315251,5.866236905721193,0.1125827814569536
Maintenance Engineer Elektrotechniek,"Leeuwarden, Friesland, Nederland",Nederland,Manufacturing/Project Management,31,181,111,25,0.9946933234604468,4.416438356164384,0.2252252252252252
Projectleider,"Rotterdam, Zuid-Holland, Nederland",Nederland,Engineering,9,181,146,3,0.2195533871270407,10.684931506849315,0.0205479452054794
Junior Jurist Contractenrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,31,181,156,8,0.7077625570776256,13.8013698630137,0.0512820512820512
Business Analist,"Den Haag, Zuid-Holland, Nederland",Nederland,Analyst/Business Development/Information Technology,6,181,146,8,0.1463689247513604,2.671232876712329,0.0547945205479452
Jurist Contractenrecht,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,24,180,161,2,0.5309282736322641,42.73972602739726,0.0124223602484472
Junior Financial Accountant,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,179,162,6,0.6815491290377135,18.401826484018265,0.037037037037037
Werkvoorbereider,"Tilburg, Noord-Brabant, Nederland",Nederland,Engineering,31,179,157,6,0.7032545153127999,18.401826484018265,0.0382165605095541
Multi Client Pool ICT Servicedeskmedewerker,"De Meern, Utrecht, Nederland",Nederland,Other,28,179,155,11,0.6433937251436147,9.066002490660026,0.0709677419354838
Junior Financial Accountant,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,31,179,155,14,0.7123287671232877,7.886497064579257,0.0903225806451612
Junior Functioneel Beheerder,"Delft, Zuid-Holland, Nederland",Nederland,Information Technology,31,179,164,4,0.6732375542933512,27.6027397260274,0.024390243902439
Junior Jurist Contractenrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,28,179,159,7,0.6272077194796244,14.246575342465755,0.0440251572327044
Senior Financial Accountant,"Amsterdam, Noord-Holland, Nederland",Nederland,Accounting/Auditing/Finance,36,178,164,6,0.7818242565987303,21.36986301369863,0.0365853658536585
IT Werkplekbeheerder,"Leiden, Zuid-Holland, Nederland",Nederland,Management/Manufacturing,31,177,162,4,0.6815491290377135,27.6027397260274,0.0246913580246913
Legal Counsel,"Den Haag, Zuid-Holland, Nederland",Nederland,Legal,6,177,147,4,0.1453732177802628,5.342465753424658,0.0272108843537414
Trainee Finance & Control,"Den Haag, Zuid-Holland, Nederland",Nederland,Accounting/Auditing/Finance,18,176,155,4,0.4136102518780379,16.027397260273972,0.0258064516129032
Junior Project Engineer Utiliteit elektrotechniek,"Amsterdam, Noord-Holland, Nederland",Nederland,Engineering/Information Technology,8,176,145,11,0.1965044874822862,2.5902864259028644,0.0758620689655172
CDD Analist,"Amersfoort, Utrecht, Nederland",Nederland,Business Development/Sales,31,176,152,4,0.7263878875270368,27.6027397260274,0.0263157894736842
Project manager datacenter,"Delft, Zuid-Holland, Nederland",Nederland,Information Technology/Project Management,27,176,130,12,0.7397260273972602,8.013698630136986,0.0923076923076923
Senior KYC/CDD Analist,"Tilburg, Noord-Brabant, Nederland",Nederland,Finance/Sales,31,175,151,6,0.7311984033384741,18.401826484018265,0.0397350993377483
Projectmanager IT,"Amsterdam, Noord-Holland, Nederland",Nederland,Information Technology/Project Management,8,175,150,4,0.1899543378995433,7.123287671232877,0.0266666666666666
Junior Subsidiebehandelaar,"Zwolle, Overijssel, Nederland",Nederland,Other,30,174,161,6,0.6636603420403302,17.808219178082194,0.0372670807453416
DevOps Engineer PAAS Windows,"Groningen, Groningen, Nederland",Nederland,Engineering/Information Technology,8,174,144,15,0.197869101978691,1.899543378995434,0.1041666666666666
Junior Jurist Contractenrecht,"Utrecht, Utrecht, Nederland",Nederland,Legal,31,173,158,3,0.6988035373677822,36.80365296803653,0.0189873417721519
Specialist automatisering,"Leeuwarden, Friesland, Nederland",Nederland,Business Development/Engineering/Manufacturing,43,172,163,6,0.9395747541810237,25.525114155251146,0.0368098159509202
Junior Uitvoerder Civiele Techniek,"Delft, Zuid-Holland, Nederland",Nederland,Engineering,31,171,134,15,0.8239623798814149,7.360730593607306,0.1119402985074626
,,,,0,171,162,3,0.0,0.0,0.0185185185185185
Projectleider Automatisering,"Groningen, Groningen, Nederland",Nederland,Project Management,31,171,151,4,0.7311984033384741,27.6027397260274,0.0264900662251655
IT - Servicedesk Specialist,"Apeldoorn, Gelderland, Nederland",Nederland,Information Technology,18,170,147,8,0.4361196533407883,8.013698630136986,0.0544217687074829
Junior Werkvoorbereider Bouwkunde,"Utrecht, Utrecht, Nederland",Nederland,Education/Training,31,170,147,13,0.7510949585313578,8.493150684931507,0.0884353741496598
Maintenance Engineer Elektrotechniek,"Lutjewinkel, Noord-Holland, Nederland",Nederland,Manufacturing/Project Management,31,170,124,23,0.8904109589041096,4.800476474091721,0.1854838709677419
Trainee Finance & Control,"Rotterdam, Zuid-Holland, Nederland",Nederland,Accounting/Auditing/Finance,18,169,149,4,0.4302656982623885,16.027397260273972,0.0268456375838926
Automation Engineer,"Beilen, Drenthe, Nederland",Nederland,Engineering/Information Technology,8,169,131,10,0.2175049670605458,2.8493150684931505,0.0763358778625954
Planner/coördinator - IT,"Huizen, Noord-Holland, Nederland",Nederland,Other,39,169,146,4,0.9513980108838432,34.726027397260275,0.0273972602739726
Junior Hypotheekacceptant Amersfoort,"Amersfoort, Utrecht, Nederland",Nederland,Finance,31,169,149,1,0.7410131470074469,110.4109589041096,0.0067114093959731
Senior Privacy Jurist,"Utrecht, Utrecht, Nederland",Nederland,Legal,17,168,154,2,0.3931684753602562,30.273972602739725,0.0129870129870129
Systeembeheerder Windows,"Zwolle, Overijssel, Nederland",Nederland,Information Technology,31,168,152,6,0.7263878875270368,18.401826484018265,0.0394736842105263
