title,title_norm,standardized_job_title,job_title,hiring_company,period_start_date,period_end_date,unique_application_clicks,unique_visitors,duration_days
Junior Project Engineer Utiliteit Werktuigbouwkundig,junior project engineer utiliteit werktuigbouwkundig,Junior Projectingenieur,Junior Project Engineer Utiliteit Werktuigbouwkundig,Brunel,2025-01-15,2025-02-04,21,211,20.0
ILS Engineer,ils engineer,Ingenieur,ILS Engineer,Brunel,2025-07-31,2025-08-30,10,223,30.0
Traineeship Technische Bedrijfskunde,traineeship technische bedrijfskunde,Trainee,Traineeship Technische Bedrijfskunde,Brunel,2025-08-04,2025-09-03,6,234,30.0
Subsidiemedewerker Utrecht,subsidiemedewerker utrecht,Subsidiemedewerker,Subsidiemedewerker Utrecht,Brunel,2025-05-07,2025-06-06,8,232,30.0
Junior Project Engineer Utiliteit elektrotechniek,junior project engineer utiliteit elektrotechniek,Junior Projectingenieur,Junior Project Engineer Utiliteit elektrotechniek,Brunel,2025-01-15,2025-01-28,14,216,13.0
Procesmanager Utrecht,procesmanager utrecht,Procesmanager,Procesmanager Utrecht,Brunel,2025-01-06,2025-02-05,7,228,30.0
Medior systeembeheerder Windows,medior systeembeheerder windows,Systeembeheerder,Medior systeembeheerder Windows,Brunel,2025-03-28,2025-04-19,15,211,22.0
Medior KYC/CDD analist Tilburg HBO,medior kyc/cdd analist tilburg hbo,Analist tegen Geldwitwassen,Medior KYC/CDD analist Tilburg HBO,Brunel,2024-12-10,2025-01-09,6,211,30.0
Cloud Engineer,cloud engineer,Cloud Engineer,Cloud Engineer,Brunel,2025-08-25,2025-09-02,25,207,8.0
OT Engineer,ot engineer,Ingenieur,OT Engineer,Brunel,2025-06-23,2025-07-10,4,218,17.0
Commissioning Engineer Data Centers – Electrical,commissioning engineer data centers - electrical,Ingenieur inbedrijfstelling,Commissioning Engineer Data Centers – Electrical,Brunel,2025-02-13,2025-03-15,26,187,30.0
Werkvoorbereider scheepsbouw,werkvoorbereider scheepsbouw,Planner,Werkvoorbereider scheepsbouw,Brunel,2025-08-01,2025-08-31,6,208,30.0
Hypotheekacceptant,hypotheekacceptant,Hypotheekverzekeraar,Hypotheekacceptant,Brunel,2025-09-23,2025-10-23,0,231,30.0
Junior Privacy Jurist Utrecht,junior privacy jurist utrecht,Privacy Advocaat,Junior Privacy Jurist Utrecht,Brunel,2025-02-28,2025-03-29,7,206,29.0
Financieel Coach,financieel coach,Financieel coach,Financieel Coach,Brunel,2025-05-20,2025-06-19,2,218,30.0
Senior Project Controller,senior project controller,Senior Project Controller,Senior Project Controller,Brunel,2025-01-19,2025-02-18,14,204,30.0
Junior Netwerk Engineer,junior netwerk engineer,Junior Netwerk Engineer,Junior Netwerk Engineer,Brunel,2025-03-06,2025-04-03,24,190,28.0
Specialist automatisering,specialist automatisering,Specialist automatisering,Specialist automatisering,Brunel,2024-12-20,2025-01-19,16,176,30.0
Administratief Medewerker Amersfoort,administratief medewerker amersfoort,Administratief medewerker,Administratief Medewerker Amersfoort,Brunel,2025-01-15,2025-01-28,5,198,13.0
Jurist Bestuursrecht,jurist bestuursrecht,Advocaat,Jurist Bestuursrecht,Brunel,2025-05-19,2025-06-18,2,201,30.0
Netwerk Security Engineer,netwerk security engineer,Beveiligingsingenieur,Netwerk Security Engineer,Brunel,2025-03-11,2025-04-07,9,197,27.0
Senior Jurist Woo - Rijksoverheid,senior jurist woo - rijksoverheid,Advocaat,Senior Jurist Woo - Rijksoverheid,Brunel,2025-09-17,2025-10-17,1,223,30.0
Teamleider Onderhoud,teamleider onderhoud,Teamleider onderhoud,Teamleider Onderhoud,Brunel,2025-08-13,2025-09-12,0,214,30.0
Project Planner,project planner,Projectplanner,Project Planner,Brunel,2025-10-28,2025-11-03,7,191,6.0
QA Sales Officer,qa sales officer,Medewerker kwaliteitszorg,QA Sales Officer,Brunel,2025-11-04,2025-11-25,5,212,21.0
Sales Consultant Legal,sales consultant legal,Juridisch consulent,Sales Consultant Legal,Brunel,2025-01-15,2025-01-28,6,204,13.0
Senior Netwerk Engineer,senior netwerk engineer,Senior netwerkingenieur,Senior Netwerk Engineer,Brunel,2025-03-06,2025-04-05,11,199,30.0
Verzekeringsspecialist,verzekeringsspecialist,Verzekeringsspecialist,Verzekeringsspecialist,Brunel,2025-08-20,2025-09-19,4,201,30.0
Traineeship OT & Industriële Automatisering,traineeship ot & industriële automatisering,Trainee,Traineeship OT & Industriële Automatisering,Brunel,2025-07-31,2025-08-30,10,195,30.0
Projectmanager bouw,projectmanager bouw,Projectmanager bouw,Projectmanager bouw,Brunel,2025-02-12,2025-02-28,4,196,16.0
Specialist Zakelijk Krediet,specialist zakelijk krediet,Bedrijfsspecialist,Specialist Zakelijk Krediet,Brunel,2025-05-22,2025-06-21,5,190,30.0
Junior Netwerkbeheerder,junior netwerkbeheerder,Junior Netwerkbeheerder,Junior Netwerkbeheerder,Brunel,2024-11-20,2024-12-18,19,175,28.0
Junior Jurist RO,junior jurist ro,Junior advocaat,Junior Jurist RO,Brunel,2025-03-28,2025-04-20,4,192,23.0
Senior analist sancties,senior analist sancties,Senior analist,Senior analist sancties,Brunel,2025-02-28,2025-04-07,5,207,38.0
Engineer Ondergrondse Infra,engineer ondergrondse infra,Infrastructuuringenieur,Engineer Ondergrondse Infra,Brunel,2024-12-20,2025-01-19,9,191,30.0
Junior Hypotheekacceptant Amersfoort,junior hypotheekacceptant amersfoort,Hypotheekverzekeraar,Junior Hypotheekacceptant Amersfoort,Brunel,2025-09-23,2025-10-23,2,197,30.0
Adviseur Wonen Centraal,adviseur wonen centraal,Adviseur,Adviseur Wonen Centraal,Brunel,2025-06-27,2025-07-27,2,198,30.0
Senior Work Planner Production & Assembly,senior work planner production & assembly,Productieplanner,Senior Work Planner Production & Assembly,Brunel,2025-04-01,2025-04-14,5,197,13.0
Junior ICT Servicedeskmedewerker,junior ict servicedeskmedewerker,ICT-specialist,Junior ICT Servicedeskmedewerker,Brunel,2025-01-28,2025-02-12,15,156,15.0
Senior Jurist Bestuursrecht - Rijksoverheid,senior jurist bestuursrecht - rijksoverheid,Advocaat,Senior Jurist Bestuursrecht - Rijksoverheid,Brunel,2025-09-17,2025-10-17,0,203,30.0
Recruitment Consultant,recruitment consultant,Recruitmentconsultant,Recruitment Consultant,Brunel,2024-11-05,2024-12-05,22,157,30.0
Junior Jurist Contractenrecht,junior jurist contractenrecht,Junior advocaat,Junior Jurist Contractenrecht,Brunel,2025-02-13,2025-03-15,9,182,30.0
CDD Analist,cdd analist,Analist,CDD Analist,Brunel,2025-01-28,2025-02-06,1,192,9.0
Senior Jurist Handhaving,senior jurist handhaving,Juridisch medewerker,Senior Jurist Handhaving,Brunel,2025-09-15,2025-10-15,0,200,30.0
Planner,planner,Planner,Planner,Brunel,2025-07-09,2025-07-15,12,176,6.0
Junior Specialist Klantonboarding,junior specialist klantonboarding,Junior specialist,Junior Specialist Klantonboarding,Brunel,2025-02-28,2025-03-30,7,193,30.0
Calculator,calculator,Kostenschatter,Calculator,Brunel,2025-02-19,2025-02-28,4,186,9.0
Medior Jurist Bestuursrecht - Rijksoverheid,medior jurist bestuursrecht - rijksoverheid,Advocaat,Medior Jurist Bestuursrecht - Rijksoverheid,Brunel,2025-09-17,2025-10-17,4,194,30.0
Werkvoorbereider Civiel - overheid,werkvoorbereider civiel - overheid,Planner,Werkvoorbereider Civiel - overheid,Brunel,2025-08-14,2025-09-13,4,182,30.0
Medior Servicedeskmedewerker,medior servicedeskmedewerker,Servicedesk-specialist,Medior Servicedeskmedewerker,Brunel,2025-07-14,2025-08-08,4,172,25.0
Senior Jurist Bezwaar Rijksoverheid,senior jurist bezwaar rijksoverheid,Senior Advocaat,Senior Jurist Bezwaar Rijksoverheid,Brunel,2025-10-15,2025-11-14,4,184,30.0
Senior Jurist APV & Bijzondere Wetten,senior jurist apv & bijzondere wetten,Advocaat,Senior Jurist APV & Bijzondere Wetten,Brunel,2025-09-17,2025-10-17,1,185,30.0
Senior systeembeheerder Windows,senior systeembeheerder windows,Senior systeembeheerder,Senior systeembeheerder Windows,Brunel,2025-03-11,2025-04-07,9,157,27.0
Junior Werkvoorbereider Werktuigbouwkunde,junior werkvoorbereider werktuigbouwkunde,Mechanisch Coördinator,Junior Werkvoorbereider Werktuigbouwkunde,Brunel,2025-10-23,2025-11-22,11,163,30.0
Medior Privacy Jurist Utrecht,medior privacy jurist utrecht,Privacy Advocaat,Medior Privacy Jurist Utrecht,Brunel,2025-02-13,2025-03-29,1,166,44.0
Junior Uitvoerder Civiele Techniek,junior uitvoerder civiele techniek,Constructiesupervisor,Junior Uitvoerder Civiele Techniek,Brunel,2025-04-17,2025-05-17,9,163,30.0
Junior Projectleider Verduurzaming,junior projectleider verduurzaming,Projectleider,Junior Projectleider Verduurzaming,Brunel,2025-11-04,2025-11-12,14,154,8.0
Contractbeheerder,contractbeheerder,Contractbeheerder,Contractbeheerder,Brunel,2025-10-15,2025-11-03,4,184,19.0
Windows 11 werkplek specials (migratie),windows 11 werkplek specials (migratie),Windows-specialist,Windows 11 werkplek specials (migratie),Brunel,2025-03-28,2025-04-18,15,167,21.0
Jurist Letselschade (medior) - HBO - Utrecht,jurist letselschade (medior) - hbo - utrecht,Advocaat,Jurist Letselschade (medior) - HBO - Utrecht,Brunel,2025-09-09,2025-10-09,3,173,30.0
Klantcontactmedewerker - Verzekeringen & Pensioenen,klantcontactmedewerker - verzekeringen & pensioenen,Klantmedewerker,Klantcontactmedewerker - Verzekeringen & Pensioenen,Brunel,2025-08-15,2025-09-14,4,161,30.0
IT Support Specialist,it support specialist,ICT-ondersteuningsspecialist,IT Support Specialist,Brunel,2025-01-28,2025-02-06,9,167,9.0
IT Support Multi Client Pool,it support multi client pool,ICT-ondersteuningsspecialist,IT Support Multi Client Pool,Brunel,2025-01-28,2025-02-12,7,166,15.0
Domein Architect,domein architect,Domeinarchitect,Domein Architect,Brunel,2025-03-28,2025-04-20,1,160,23.0
Onderhoudsplanner,onderhoudsplanner,Onderhoudsplanner,Onderhoudsplanner,Brunel,2025-02-04,2025-02-28,8,160,24.0
Jurist Vastgoed & Grondzaken,jurist vastgoed & grondzaken,Juridisch,Jurist Vastgoed & Grondzaken ,Brunel,2025-06-06,2025-07-06,5,171,30.0
Jurist Rechtsbijstand (Junior),jurist rechtsbijstand (junior),Junior advocaat,Jurist Rechtsbijstand (Junior),Brunel,2025-01-21,2025-02-04,10,155,14.0
Windows Technisch Applicatiebeheerder,windows technisch applicatiebeheerder,Technisch applicatiemanager,Windows Technisch Applicatiebeheerder,Brunel,2025-03-28,2025-04-20,2,168,23.0
Werkplekbeheer/IT Support,werkplekbeheer/it support,ICT-ondersteuningsspecialist,Werkplekbeheer/IT Support,Brunel,2025-03-11,2025-04-07,17,151,27.0
Medior IT Support Engineer,medior it support engineer,Ondersteuningstechnicus ICT,Medior IT Support Engineer,Brunel,2025-01-28,2025-02-06,5,164,9.0
Jurist Contractenrecht,jurist contractenrecht,Advocaat,Jurist Contractenrecht,Brunel,2025-03-28,2025-04-20,2,161,23.0
Werkvoorbereider,werkvoorbereider,Projectplanner,Werkvoorbereider,Brunel,2025-06-04,2025-07-04,6,157,30.0
Project manager datacenter,project manager datacenter,Projectmanager,Project manager datacenter,Brunel,2025-01-03,2025-01-29,12,130,26.0
DevOps Engineer PAAS Windows,devops engineer paas windows,DevOps Engineer,DevOps Engineer PAAS Windows,Brunel,2025-01-28,2025-02-04,15,144,7.0
Category Procurement Manager Packaging,category procurement manager packaging,Inkoopmanager,Category Procurement Manager Packaging,Brunel,2025-09-23,2025-09-24,17,132,1.0
Junior Projectleider Bouwmanagement,junior projectleider bouwmanagement,Projectleider,Junior Projectleider Bouwmanagement,Brunel,2025-09-02,2025-09-17,7,137,15.0
Traineeship Hypotheken,traineeship hypotheken,Hypotheekspecialist,Traineeship Hypotheken,Brunel,2025-01-28,2025-02-04,3,162,7.0
Senior Jurist Omgevingsrecht,senior jurist omgevingsrecht,Senior Advocaat,Senior Jurist Omgevingsrecht,Brunel,2025-09-15,2025-10-15,2,162,30.0
Planner/coördinator - IT,planner/coördinator - it,Planner,Planner/coördinator - IT,Brunel,2025-02-28,2025-04-07,4,146,38.0
Systeembeheerder Windows,systeembeheerder windows,Systeembeheerder,Systeembeheerder Windows,Brunel,2025-01-19,2025-02-18,6,152,30.0
Junior Subsidieadviseur Utrecht,junior subsidieadviseur utrecht,Financiën,Junior Subsidieadviseur Utrecht,Brunel,2025-01-06,2025-02-05,3,147,30.0
Project Engineer Duurzame Energie,project engineer duurzame energie,Projectingenieur,Project Engineer Duurzame Energie,Brunel,2025-03-11,2025-04-07,8,148,27.0
Werkvoorbereider Vattenfall,werkvoorbereider vattenfall,Planner,Werkvoorbereider Vattenfall,Brunel,2025-07-15,2025-08-14,3,136,30.0
Junior jurist handhaving,junior jurist handhaving,Junior advocaat,Junior jurist handhaving,Brunel,2025-03-28,2025-04-20,8,147,23.0
Medior ICT Support Medewerker,medior ict support medewerker,ICT-medewerker,Medior ICT Support Medewerker,Brunel,2025-02-13,2025-03-29,2,157,44.0
Medior Netwerk Engineer,medior netwerk engineer,Netwerkingenieur,Medior Netwerk Engineer,Brunel,2025-03-06,2025-04-05,10,141,30.0
Medior Privacy Jurist,medior privacy jurist,Privacy Advocaat,Medior Privacy Jurist,Brunel,2025-02-13,2025-03-15,4,154,30.0
Werkvoorbereider,werkvoorbereider,Planner,Werkvoorbereider,Brunel,2025-07-10,2025-08-09,4,145,30.0
Modern Workplace Engineer,modern workplace engineer,Ingenieur,Modern Workplace Engineer,Brunel,2025-01-21,2025-02-04,6,147,14.0
Jurist Handhaving,jurist handhaving,Juridisch specialist,Jurist Handhaving,Brunel,2025-06-06,2025-07-06,1,151,30.0
Senior jurist handhaving,senior jurist handhaving,Juridisch specialist,Senior jurist handhaving,Brunel,2025-07-31,2025-08-30,0,135,30.0
Projectleider Installatietechniek,projectleider installatietechniek,Projectleider,Projectleider Installatietechniek,Brunel,2025-09-01,2025-10-01,8,136,30.0
Junior Subsidieadviseur Zwolle,junior subsidieadviseur zwolle,Financiën,Junior Subsidieadviseur Zwolle,Brunel,2025-01-06,2025-02-05,3,128,30.0
Quantity Surveyor,quantity surveyor,Kwantiteitsbewaker,Quantity Surveyor,Brunel,2025-02-28,2025-03-29,15,120,29.0
Traineeship Maintenance en Assetmanagement,traineeship maintenance en assetmanagement,Onderhoud,Traineeship Maintenance en Assetmanagement,Brunel,2025-03-06,2025-04-05,10,144,30.0
Acceptant Verzekeringen,acceptant verzekeringen,Verzekeringsunderwriter,Acceptant Verzekeringen,Brunel,2025-05-19,2025-06-18,7,132,30.0
Medewerker business support Inkoop JP1022,medewerker business support inkoop jp1022,Medewerker inkoop,Medewerker business support Inkoop JP1022,Brunel,2025-01-03,2025-01-15,1,124,12.0
Junior Subsidieadviseur Den Haag,junior subsidieadviseur den haag,Financiën,Junior Subsidieadviseur Den Haag,Brunel,2025-01-06,2025-02-05,6,130,30.0
Monteur Schadeherstel,monteur schadeherstel,Monteur,Monteur Schadeherstel,Brunel,2025-08-15,2025-09-14,0,145,30.0
Project Engineer Energie opwek Mechanisch,project engineer energie opwek mechanisch,Projectingenieur,Project Engineer Energie opwek Mechanisch,Brunel,2025-01-06,2025-02-05,5,134,30.0
Productieplanner,productieplanner,Productieplanner,Productieplanner,Brunel,2025-06-04,2025-06-12,7,131,8.0
Junior Jurist Sociaal Domein,junior jurist sociaal domein,Junior advocaat,Junior Jurist Sociaal Domein,Brunel,2024-12-10,2025-01-09,3,131,30.0
Financieel Adviseur Klantbeheer,financieel adviseur klantbeheer,Financieel adviseur,Financieel Adviseur Klantbeheer,Brunel,2025-05-19,2025-06-18,2,140,30.0
Bijzonder Beheer Specialist Utrecht,bijzonder beheer specialist utrecht,Specialist,Bijzonder Beheer Specialist Utrecht,Brunel,2025-09-09,2025-10-09,5,129,30.0
Jurist Rechtsbijstand (Senior),jurist rechtsbijstand (senior),Juridisch,Jurist Rechtsbijstand (Senior),Brunel,2025-06-06,2025-07-06,4,139,30.0
ICT support medewerker,ict support medewerker,ICT-medewerker,ICT support medewerker,Brunel,2025-03-07,2025-04-06,5,125,30.0
IT Servicedeskmedewerker,it servicedeskmedewerker,ICT-specialist,IT Servicedeskmedewerker,Brunel,2025-01-19,2025-02-18,8,121,30.0
Maintenance Engineer Projecten MJOP,maintenance engineer projecten mjop,Onderhoudsingenieur,Maintenance Engineer Projecten MJOP,Brunel,2025-01-19,2025-02-04,8,126,16.0
Junior Bezwaarjurist - Utrecht,junior bezwaarjurist - utrecht,Advocaat,Junior Bezwaarjurist - Utrecht,Brunel,2025-01-15,2025-02-14,3,125,30.0
Werkvoorbereider Maintenance,werkvoorbereider maintenance,Onderhoudsplanner,Werkvoorbereider Maintenance,Brunel,2025-04-17,2025-05-17,3,125,30.0
Technisch Specialist Windmolens,technisch specialist windmolens,Technisch specialist,Technisch Specialist Windmolens,Brunel,2025-06-02,2025-07-02,5,128,30.0
Subsidiemedewerker,subsidiemedewerker,Subsidiemedewerker,Subsidiemedewerker,Brunel,2025-01-15,2025-02-14,4,126,30.0
Junior Uitvoerder Bouwkunde,junior uitvoerder bouwkunde,Constructiesupervisor,Junior Uitvoerder Bouwkunde,Brunel,2025-04-17,2025-05-17,5,126,30.0
Junior Werkvoorbereider bouwkunde,junior werkvoorbereider bouwkunde,Junior Planner,Junior Werkvoorbereider bouwkunde,Brunel,2024-11-20,2024-12-20,8,130,30.0
Medior Privacy Jurist Den Haag,medior privacy jurist den haag,Privacy Advocaat,Medior Privacy Jurist Den Haag,Brunel,2025-02-28,2025-03-30,2,131,30.0
Projectorganisator Bouw,projectorganisator bouw,Bouw,Projectorganisator Bouw,Brunel,2025-02-12,2025-02-28,9,120,16.0
Medior Subsidiebeoordelaar,medior subsidiebeoordelaar,Specialist Publiek Beleid,Medior Subsidiebeoordelaar,Brunel,2025-06-27,2025-07-27,2,111,30.0
Jurist Bezwaar & Beroep Omgevingsrecht HBO Senior,jurist bezwaar & beroep omgevingsrecht hbo senior,Advocaat,Jurist Bezwaar & Beroep Omgevingsrecht HBO Senior,Brunel,2025-08-01,2025-08-31,0,128,30.0
Medior analist sancties a.i.,medior analist sancties a.i.,Analist,Medior analist sancties a.i.,Brunel,2025-02-28,2025-03-11,2,129,11.0
Junior Jurist Subsidierecht,junior jurist subsidierecht,Junior advocaat,Junior Jurist Subsidierecht,Brunel,2025-03-28,2025-04-15,4,119,18.0
Jurist Bezwaar & Beroep Senior WO,jurist bezwaar & beroep senior wo,Senior Advocaat,Jurist Bezwaar & Beroep Senior WO,Brunel,2025-01-06,2025-02-05,9,117,30.0
Junior Jurist Milieu,junior jurist milieu,Junior advocaat,Junior Jurist Milieu,Brunel,2024-12-10,2025-01-09,3,114,30.0
Medior Adviseur Subsidies Zwolle,medior adviseur subsidies zwolle,Toelagenconsulent,Medior Adviseur Subsidies Zwolle,Brunel,2025-03-28,2025-04-22,2,121,25.0
Traineeship subsidies,traineeship subsidies,Trainee,Traineeship subsidies,Brunel,2024-12-24,2025-01-23,6,113,30.0
SCCM/Intune Specialist,sccm/intune specialist,Specialist,SCCM/Intune Specialist,Brunel,2025-02-28,2025-03-29,13,105,29.0
Medior Project Engineer Energie opwek Werktuigbouwkunde,medior project engineer energie opwek werktuigbouwkunde,Projectingenieur,Medior Project Engineer Energie opwek Werktuigbouwkunde,Brunel,2025-01-06,2025-02-05,4,118,30.0
Senior Jurist Contractenrecht,senior jurist contractenrecht,Senior Advocaat,Senior Jurist Contractenrecht,Brunel,2025-03-06,2025-04-05,0,122,30.0
Acceptant Woninghypotheken,acceptant woninghypotheken,Underwriter,Acceptant Woninghypotheken,Brunel,2025-01-06,2025-02-05,0,129,30.0
ICT Servicedeskmedewerker – Zwolle,ict servicedeskmedewerker - zwolle,ICT-specialist,ICT Servicedeskmedewerker – Zwolle,Brunel,2025-01-21,2025-02-04,5,110,14.0
Jurist Letselschade medior,jurist letselschade medior,Advocaat,Jurist Letselschade medior,Brunel,2024-12-03,2025-01-06,3,118,34.0
Jurist APV & Bijzondere wetten,jurist apv & bijzondere wetten,Juridisch,Jurist APV & Bijzondere wetten,Brunel,2025-06-06,2025-07-06,3,108,30.0
Project Engineer Hoogspanning,project engineer hoogspanning,Projectingenieur,Project Engineer Hoogspanning,Brunel,2025-03-11,2025-04-07,3,108,27.0
Junior Jurist Woo bij de Rijksoverheid,junior jurist woo bij de rijksoverheid,Junior advocaat,Junior Jurist Woo bij de Rijksoverheid,Brunel,2025-01-03,2025-02-02,5,114,30.0
Traineeship Hypotheekacceptant Amsterdam,traineeship hypotheekacceptant amsterdam,Hypotheekverzekeraar,Traineeship Hypotheekacceptant Amsterdam,Brunel,2025-01-06,2025-02-05,2,119,30.0
Adviseur Ruimtelijke Ordening Energie-Infrastructuur,adviseur ruimtelijke ordening energie-infrastructuur,Energieconsultant,Adviseur Ruimtelijke Ordening Energie-Infrastructuur,Brunel,2025-11-12,,2,101,
Medior Adviseur Subsidies,medior adviseur subsidies,Toelagenconsulent,Medior Adviseur Subsidies,Brunel,2025-07-30,2025-08-12,0,111,13.0
ICT Servicedeskmedewerker - Zwolle,ict servicedeskmedewerker - zwolle,ICT-specialist,ICT Servicedeskmedewerker - Zwolle,Brunel,2025-05-21,2025-06-04,2,106,14.0
ICT Support Engineer,ict support engineer,Ondersteuningstechnicus ICT,ICT Support Engineer,Brunel,2025-03-04,2025-04-07,5,107,34.0
Senior Maintenance Engineer E&I,senior maintenance engineer e&i,Hoofd Onderhoudsingenieur,Senior Maintenance Engineer E&I,Brunel,2025-01-28,2025-02-13,15,98,16.0
Letselschadebehandelaar,letselschadebehandelaar,Schade-expert,Letselschadebehandelaar,Brunel,2024-12-03,2025-01-06,0,105,34.0
Jurist Letselschade Achmea,jurist letselschade achmea,Advocaat,Jurist Letselschade Achmea,Brunel,2024-12-03,2025-01-02,6,102,30.0
Projectleider Technisch Onderhoud,projectleider technisch onderhoud,Projectleider,Projectleider Technisch Onderhoud,Brunel,2025-03-06,2025-04-05,7,107,30.0
Pensioenspecialist,pensioenspecialist,Pensioenspecialist,Pensioenspecialist,Brunel,2025-01-21,2025-02-20,0,103,30.0
Junior Jurist Woo bij de Rijksoverheid,junior jurist woo bij de rijksoverheid,Advocaat,Junior Jurist Woo bij de Rijksoverheid,Brunel,2025-11-05,,10,96,
SCCM Specialist,sccm specialist,Specialist,SCCM Specialist,Brunel,2025-03-06,2025-04-03,6,98,28.0
Assetmanagement Water,assetmanagement water,Facilitair manager,Assetmanagement Water,Brunel,2025-03-11,2025-04-07,1,104,27.0
Medewerker Betaalachterstanden Amsterdam,medewerker betaalachterstanden amsterdam,Medewerker,Medewerker Betaalachterstanden Amsterdam,Brunel,2025-01-15,2025-02-14,3,105,30.0
Senior Jurist Letselschade,senior jurist letselschade,Advocaat,Senior Jurist Letselschade,Brunel,2025-06-06,2025-07-06,0,100,30.0
Juridisch Vergunningverlener HBO Junior,juridisch vergunningverlener hbo junior,Juridisch,Juridisch Vergunningverlener HBO Junior,Brunel,2025-01-15,2025-02-14,1,100,30.0
Senior Werkvoorbereider,senior werkvoorbereider,Projectingenieur,Senior Werkvoorbereider,Brunel,2025-02-12,2025-02-28,4,102,16.0
Werkvoorbereider Procesindustrie,werkvoorbereider procesindustrie,Planner,Werkvoorbereider Procesindustrie,Brunel,2025-04-17,2025-05-17,0,101,30.0
DevOps Engineer PAAS Windows,devops engineer paas windows,Software-ingenieur,DevOps Engineer PAAS Windows,Brunel,2024-12-03,2025-01-02,6,101,30.0
Jurist Rijksoverheid,jurist rijksoverheid,Advocaat,Jurist Rijksoverheid,Brunel,2025-03-06,2025-04-05,2,108,30.0
ICT Servicedeskmedewerker,ict servicedeskmedewerker,Servicedesk-specialist,ICT Servicedeskmedewerker,Brunel,2025-01-15,2025-02-14,6,107,30.0
Specialist Schuldhulp Leeuwarden,specialist schuldhulp leeuwarden,Specialist,Specialist Schuldhulp Leeuwarden,Brunel,2024-12-03,2025-01-02,3,95,30.0
Junior Subsidiebeoordelaar,junior subsidiebeoordelaar,Financiën,Junior Subsidiebeoordelaar,Brunel,2025-03-06,2025-04-05,1,105,30.0
Jurist Woo bij de Rijksoverheid,jurist woo bij de rijksoverheid,Advocaat,Jurist Woo bij de Rijksoverheid,Brunel,2025-03-28,2025-04-14,2,97,17.0
Medior Adviseur Subsidies Den Haag,medior adviseur subsidies den haag,Toelagenconsulent,Medior Adviseur Subsidies Den Haag,Brunel,2025-03-11,2025-04-07,0,99,27.0
Senior Jurist Sociaal Domein,senior jurist sociaal domein,Senior Advocaat,Senior Jurist Sociaal Domein,Brunel,2025-03-28,2025-04-21,0,100,24.0
Traineeship Hypotheekacceptatie,traineeship hypotheekacceptatie,Trainee,Traineeship Hypotheekacceptatie,Brunel,2025-01-15,2025-01-28,3,100,13.0
Maintenance Engineer Werktuigbouwkunde,maintenance engineer werktuigbouwkunde,Onderhoudsingenieur,Maintenance Engineer Werktuigbouwkunde,Brunel,2025-01-15,2025-02-14,1,100,30.0
Project Engineer Energie opwek Elektrotechniek,project engineer energie opwek elektrotechniek,Projectingenieur,Project Engineer Energie opwek Elektrotechniek,Brunel,2025-01-06,2025-02-05,7,103,30.0
Juridisch Vergunningverlener WO Junior,juridisch vergunningverlener wo junior,Juridisch,Juridisch Vergunningverlener WO Junior,Brunel,2025-01-15,2025-01-28,3,98,13.0
Financieringsassistent,financieringsassistent,Financieel adviseur,Financieringsassistent,Brunel,2025-06-27,2025-07-27,4,78,30.0
Procesmanager Utrecht,procesmanager utrecht,Manager procestechniek,Procesmanager Utrecht,Brunel,2024-11-13,2024-12-13,0,87,30.0
Medior Jurist Contractenrecht,medior jurist contractenrecht,Advocaat,Medior Jurist Contractenrecht,Brunel,2025-01-03,2025-02-02,1,99,30.0
Assetmanagement Water Utrecht,assetmanagement water utrecht,Werktuigbouwkundige,Assetmanagement Water Utrecht,Brunel,2025-03-06,2025-04-03,4,91,28.0
Jurist Bezwaar en Beroep bij de Rijksoverheid,jurist bezwaar en beroep bij de rijksoverheid,Advocaat,Jurist Bezwaar en Beroep bij de Rijksoverheid,Brunel,2025-11-05,,4,90,
Junior Jurist Vergunningen,junior jurist vergunningen,Junior advocaat,Junior Jurist Vergunningen,Brunel,2025-02-13,2025-03-15,3,88,30.0
Medior Project Engineer Duurzame Energie,medior project engineer duurzame energie,Projectingenieur,Medior Project Engineer Duurzame Energie,Brunel,2025-01-06,2025-02-05,6,94,30.0
Bijzonder Beheer Specialist Amsterdam,bijzonder beheer specialist amsterdam,Specialist,Bijzonder Beheer Specialist Amsterdam,Brunel,2025-08-14,2025-09-09,0,95,26.0
Senior Bezwaarjurist - Utrecht,senior bezwaarjurist - utrecht,Juridisch specialist,Senior Bezwaarjurist - Utrecht,Brunel,2025-11-05,,0,96,
Junior Werkvoorbereider Civiele Techniek,junior werkvoorbereider civiele techniek,Junior Planner,Junior Werkvoorbereider Civiele Techniek,Brunel,2024-11-20,2024-12-20,7,91,30.0
Senior Juridisch Planoloog HBO,senior juridisch planoloog hbo,Planoloog,Senior Juridisch Planoloog HBO,Brunel,2025-01-06,2025-02-05,5,87,30.0
Junior Hypotheekacceptant Utrecht,junior hypotheekacceptant utrecht,Hypotheekverzekeraar,Junior Hypotheekacceptant Utrecht,Brunel,2025-01-06,2025-02-05,2,79,30.0
Jurist Milieu,jurist milieu,Advocaat,Jurist Milieu,Brunel,2025-02-28,2025-04-07,2,86,38.0
Kredietbeoordelaar Hypotheken Amersfoort,kredietbeoordelaar hypotheken amersfoort,Hypotheekspecialist,Kredietbeoordelaar Hypotheken Amersfoort,Brunel,2025-01-15,2025-02-14,2,91,30.0
